Settore Merceologico;Insegna;Ubicazione;Tipo Via;Via;Civico;Codice Via;ZD;Superficie vendita;Superficie altri usi;Superficie totale
non alimentare;;CSO GARIBALDI GIUSEPPE N. 127 (z.d. 1);CSO;GARIBALDI GIUSEPPE;127;1010;1;273;;273
non alimentare;;"CSO GARIBALDI GIUSEPPE num.097/99; isolato:081; accesso: accesso esterno; (z.d. 1)";VIA;MAGGI CARLO MARIA;10;7115;1;725;130;855
non alimentare;;"CSO INDIPENDENZA N. 1 ; isolato:177; accesso: accesso esterno; (z.d. 3)";CSO;INDIPENDENZA;1;3118;3;450;1550;2000
non alimentare;;"CSO INDIPENDENZA N. 24 ; isolato:007; accesso: accesso esterno; (z.d. 4)";CSO;INDIPENDENZA;24;3118;4;850;630;1480
non alimentare;;"CSO ITALIA N. 40 ;via molino delle armi 004; isolato:476; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;40;526;1;292;100;392
non alimentare;;"CSO LODI N. 47 ; isolato:182; accesso: accesso esterno; (z.d. 4)";CSO;LODI;47;4068;4;263;52;315
non alimentare;;"CSO LODI N. 60 ; isolato:021; accesso: accesso esterno; (z.d. 4)";CSO;LODI;60;4068;4;255;;255
non alimentare;;"CSO LODI N. 9 ; isolato:170; accesso: accesso esterno; (z.d. 4)";CSO;LODI;9;4068;4;340;;340
non alimentare;;"CSO MAGENTA N. 10 ;cso magenta 010; isolato:291; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;10;604;1;530;;580
non alimentare;;"CSO MATTEOTTI GIACOMO N. 14 ;cso matteotti giacomo 014; isolato:316; accesso: accesso esterno; (z.d. 1)";CSO;MATTEOTTI GIACOMO;14;218;1;267;;267
non alimentare;;CSO MATTEOTTI GIACOMO N. 8 (z.d. 1);CSO;MATTEOTTI GIACOMO;8;218;1;300;;380
non alimentare;;"CSO MONFORTE N. 20 angolo visconti di modrone;cso monforte 020; isolato:192; (z.d. 1)";CSO;MONFORTE;20;348;1;480;;575
non alimentare;;"CSO SAN GOTTARDO N. 35 ; isolato:114; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;35;5203;5;384;;450
non alimentare;;"CSO SAN GOTTARDO N. 42 ; isolato:113; accesso: accesso interno; (z.d. 5)";CSO;SAN GOTTARDO;42;5203;5;500;250;750
non alimentare;;"CSO SEMPIONE N. 21 ; isolato:096; accesso: accesso esterno; (z.d. 8)";CSO;SEMPIONE;21;7137;8;256;18;274
non alimentare;;"CSO VENEZIA N. 14 ;cso venezia 014; isolato:190; accesso: accesso esterno; (z.d. 1)";CSO;VENEZIA;14;238;1;1435;190;1625
non alimentare;;"CSO VENEZIA N. 2 ;cso venezia 002; isolato:190; accesso: accesso esterno; (z.d. 1)";CSO;VENEZIA;2;238;1;475;;475
non alimentare;;"CSO VENEZIA N. 5 ;cso venezia 005; isolato:261; accesso: accesso esterno; (z.d. 1)";CSO;VENEZIA;5;238;1;410;;597
non alimentare;;"CSO VERCELLI N. 16 ; isolato:216; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;16;6193;7;582;;582
non alimentare;;CSO VERCELLI N. 35 (z.d. 6);CSO;VERCELLI;35;6193;7;575;;575
non alimentare;;"CSO VITTORIO EMANUELE II N. 13 ;cso vittorio emanuele ii 013; isolato:361; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;13;214;1;710;;969
non alimentare;;CSO VITTORIO EMANUELE II N. 24 (z.d. 1);CSO;VITTORIO EMANUELE II;24;214;1;1511;;2104
non alimentare;;CSO VITTORIO EMANUELE II N. 30 (z.d. 1);CSO;VITTORIO EMANUELE II;30;214;1;2264;;2874
non alimentare;;"CSO VITTORIO EMANUELE II N. 9 ;cso vittorio emanuele ii 009; isolato:361; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;9;214;1;1500;;1500
non alimentare;;"CSO VITTORIO EMANUELE II num.024/28; (z.d. 1)";CSO;VITTORIO EMANUELE II;;214;1;913;;940
non alimentare;;"FOR BUONAPARTE N. 24 ;for buonaparte 024; isolato:296; (z.d. 1)";FOR;BUONAPARTE;24;711;1;519;;742
non alimentare;;GLL DEL CORSO N. 4 (z.d. 1);GLL;DEL CORSO;4;305;1;1217;;1597
non alimentare;;"GLL PATTARI N. 2 ;gll pattari 002; isolato:420; accesso: accesso esterno; (z.d. 1)";GLL;PATTARI;2;296;1;1017;;1700
non alimentare;;"GLL STRASBURGO N. 3 ;gll strasburgo 003; isolato:317; accesso: accesso esterno; (z.d. 1)";GLL;STRASBURGO;3;297;1;357;;357
non alimentare;;"LGO BOCCIONI UMBERTO N. 6 ; isolato:093; accesso: accesso esterno; (z.d. 8)";LGO;BOCCIONI UMBERTO;6;7467;8;400;40;440
non alimentare;;"LGO DOMODOSSOLA m1e num.001/a; (z.d. 8)";LGO;DOMODOSSOLA;;6140;8;563;;1030
non alimentare;;"LGO ISARCO N. 2 ; isolato:013; (z.d. 5)";LGO;ISARCO;2;4129;5;492;;500
non alimentare;;"LGO RICHINI FRANCESCO N. 1 ;lgo richini francesco 001; isolato:325; accesso: accesso esterno; (z.d. 1)";LGO;RICHINI FRANCESCO;1;331;1;293;37;330
non alimentare;;"PAS DUOMO N. 2 ;pas duomo 002; isolato:436; accesso: accesso interno; (z.d. 1)";PAS;DUOMO;2;102;1;600;150;750
non alimentare;;"PLE AQUILEIA N. 6 ; isolato:260; accesso: accesso esterno; (z.d. 7)";PLE;AQUILEIA;6;6205;7;320;;320
non alimentare;;"PLE CHIESA DAMIANO N. 2 ; isolato:039; accesso: accesso esterno; (z.d. 8)";PLE;CHIESA DAMIANO;2;7164;8;2277;;3277
non alimentare;;"PLE CIMITERO MAGGIORE N. 12 ; isolato:141; accesso: accesso esterno; (z.d. 8)";PLE;CIMITERO MAGGIORE;12;7442;8;270;270;540
non alimentare;;"PTA BOSSI MAURILIO N. 4 ;pta bossi maurilio 004; isolato:367; accesso: accesso esterno; (z.d. 1)";PTA;BOSSI MAURILIO;4;116;1;400;800;1200
non alimentare;;"PTA GIORDANO UMBERTO N. 4 aff.za tacitamente rinnovabile;pta giordano umberto 004; isolato:264; accesso: accesso esterno; (z.d. 1)";PTA;GIORDANO UMBERTO;4;345;1;390;;390
non alimentare;;"PZA DELLA TRIVULZIANA N. 5 ; accesso: accesso esterno; (z.d. 9)";PZA;DELLA TRIVULZIANA;5;1765;9;1100;;1740
non alimentare;;PZA DELLA TRIVULZIANA N. 6 (z.d. 9);PZA;DELLA TRIVULZIANA;6;1765;9;1100;;1427
non alimentare;;"PZA OTTO NOVEMBRE N. 6 ; isolato:149; accesso: accesso esterno; (z.d. 3)";PZA;OTTO NOVEMBRE;6;2187;3;267;3;270
non alimentare;;"PZA RISORGIMENTO N. 10 ; isolato:005; accesso: accesso esterno; (z.d. 4)";PZA;RISORGIMENTO;10;3117;4;302;19;321
non alimentare;;"PZA SAN BABILA N. 1 ;pza san babila 001; isolato:316; accesso: accesso esterno; (z.d. 1)";PZA;SAN BABILA;1;216;1;1329;;1810
non alimentare;;PZA SAN BABILA N. 5 (z.d. 1);PZA;SAN BABILA;5;216;1;700;;0
non alimentare;;"PZA SAN MARCO N. 1 ; isolato:299; accesso: accesso esterno; (z.d. 1)";PZA;SAN MARCO;1;1040;1;340;57;397
non alimentare;;"PZA SANTA MARIA BELTRADE N. 1 ;pza santa maria beltrade 001; isolato:441; accesso: accesso esterno; (z.d. 1)";PZA;SANTA MARIA BELTRADE;1;514;1;417;;782
non alimentare;;"PZA VENTICINQUE APRILE N. 12 ; isolato:322; accesso: accesso interno; (z.d. 9)";PZA;VENTICINQUE APRILE;12;1064;9;781;;781
non alimentare;;PZA VENTIQUATTRO MAGGIO N. 8 (z.d. 5);PZA;VENTIQUATTRO MAGGIO;8;5200;5;400;80;480
non alimentare;;"PZA VESUVIO N. 19 ; isolato:280; accesso: accesso esterno; (z.d. 7)";PZA;VESUVIO;19;6110;7;1200;1600;2800
non alimentare;;PZA VETRA N. 21 (z.d. 1);PZA;VETRA;21;515;1;340;;340
non alimentare;;"RIP DI PTA TICINESE N. 47 ; isolato:072; accesso: accesso interno; (z.d. 6)";RIP;DI PTA TICINESE;47;5150;6;300;;300
non alimentare;;"VIA ACHILLINI CLAUDIO N. 2 ; isolato:064; accesso: accesso esterno; (z.d. 9)";VIA;ACHILLINI CLAUDIO;2;1605;9;1500;;1500
non alimentare;;"VIA ALBERICO DA ROSCIATE N. 5 ; isolato:152; accesso: accesso esterno; (z.d. 7)";VIA;ALBERICO DA ROSCIATE;5;6589;7;726;;726
non alimentare;;"VIA ALDINI ANTONIO num.028/b; isolato:097; accesso: accesso esterno; (z.d. 8)";VIA;ALDINI ANTONIO;;7461;8;276;138;414
non alimentare;;"VIA ALEARDI ALEARDO N. 15 ; isolato:073; accesso: accesso esterno; (z.d. 8)";VIA;ALEARDI ALEARDO;15;7209;8;600;;600
non alimentare;;"VIA ALUNNO NICOLO' N. 23 ; isolato:197; accesso: accesso esterno; (z.d. 7)";VIA;ALUNNO NICOLO';23;6640;7;380;;380
non alimentare;;"VIA ALUNNO NICOLO' N. 23 ; isolato:197; accesso: accesso esterno; (z.d. 7)";VIA;ALUNNO NICOLO';23;6640;7;400;;400
non alimentare;;"VIA AMADEO GIAN ANTONIO N. 40 ; isolato:200; accesso: accesso esterno; (z.d. 3)";VIA;AMADEO GIAN ANTONIO;40;3228;3;360;224;584
non alimentare;;"VIA ANTONINI GIACOMO N. 26 ; isolato:099; (z.d. 5)";VIA;ANTONINI GIACOMO;26;4250;5;1499;;1499
non alimentare;;"VIA AOSTA N. 6 ; isolato:001; accesso: accesso esterno; (z.d. 8)";VIA;AOSTA;6;7227;8;1000;;1000
non alimentare;;"VIA ARNALDO DA BRESCIA N. 4 ; isolato:252; accesso: accesso interno; (z.d. 2)";VIA;ARNALDO DA BRESCIA;4;1151;9;607;;607
non alimentare;;"VIA ARONA N. 4 ; isolato:040; accesso: accesso esterno; (z.d. 8)";VIA;ARONA;4;7169;8;350;;350
non alimentare;;"VIA ARONA N. 4 ; isolato:040; accesso: accesso esterno; (z.d. 8)";VIA;ARONA;4;7169;8;490;150;640
non alimentare;;"VIA ARONA num.015; accesso: accesso esterno; (z.d. 8)";VIA;ARONA;;7169;8;1227;;1227
non alimentare;;VIA BALESTRIERI DOMENICO N. 6 (z.d. 1);VIA;BALESTRIERI DOMENICO;6;7116;1;310;;0
non alimentare;;"VIA BARONA N. 21 ; isolato:093; accesso: accesso esterno; (z.d. 6)";VIA;BARONA;21;5356;6;500;;500
non alimentare;;"VIA BELGIRATE N. 24 ; isolato:125; accesso: accesso interno; (z.d. 2)";VIA;BELGIRATE;24;1406;2;870;220;1090
non alimentare;;"VIA BENADIR N. 5 ; isolato:288; accesso: accesso esterno; (z.d. 2)";VIA;BENADIR;5;2380;2;1500;;1600
non alimentare;;"VIA BENADIR N. 5 ; isolato:288; (z.d. 2)";VIA;BENADIR;5;2380;2;1500;;2200
non alimentare;;"VIA BIGLI N. 19 ;via bigli 019; isolato:363; accesso: accesso esterno; (z.d. 1)";VIA;BIGLI;19;224;1;270;110;380
non alimentare;;"VIA BIGLI N. 2 ;via bigli 002; isolato:314; accesso: accesso esterno; (z.d. 1)";VIA;BIGLI;2;224;1;300;;300
non alimentare;;"VIA BODONI GIAMBATTISTA N. 2 ; isolato:299; accesso: accesso esterno; (z.d. 8)";VIA;BODONI GIAMBATTISTA;2;7261;8;356;;356
non alimentare;;"VIA BONCOMPAGNI CARLO num.067/int; isolato:072; accesso: accesso esterno; (z.d. 4)";VIA;MURATORI LODOVICO;27;4076;4;350;;442
non alimentare;;VIA BORDIGHERA N. 12 (z.d. 5);VIA;BORDIGHERA;12;5265;5;480;;480
non alimentare;;"VIA BORGOGNA N. 2 allo sportello x distribuzione;gll strasburgo 000; isolato:317; accesso: accesso esterno; (z.d. 1)";VIA;BORGOGNA;2;301;1;270;;270
non alimentare;;"VIA BRIZI EUGENIO N. 4 ; isolato:070; accesso: accesso esterno; (z.d. 4)";VIA;BRIZI EUGENIO;4;4186;4;300;;300
non alimentare;;"VIA CACCIATORI BENEDETTO N. 12 ; isolato:063; accesso: accesso interno; (z.d. 7)";VIA;CACCIATORI BENEDETTO;12;6305;7;280;;280
non alimentare;;"VIA CADUTI DI MARCINELLE num.002/1; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;;2129;3;2500;;2500
non alimentare;;"VIA CALZECCHI TEMISTOCLE N. 17 ; isolato:164; accesso: accesso esterno; (z.d. 3)";VIA;CALZECCHI TEMISTOCLE;17;3241;3;300;291;0
non alimentare;;VIA CANTONI GIOVANNI N. 7 (z.d. 6);VIA;CANTONI GIOVANNI;7;6206;7;600;;600
non alimentare;;"VIA CARLI GIAN RINALDO N. 9 ; isolato:051; accesso: accesso interno; (z.d. 9)";VIA;CARLI GIAN RINALDO;9;1563;9;456;90;546
non alimentare;;"VIA CARNEVALI ANTONIO N. 28 ; isolato:043; accesso: accesso interno; (z.d. 9)";VIA;CARNEVALI ANTONIO;28;1268;9;300;50;350
non alimentare;;"VIA CASARSA N. 9 ; isolato:056; accesso: accesso interno; (z.d. 9)";VIA;CASARSA;9;1577;9;476;14;490
non alimentare;;"VIA CASATI FELICE num.001/a; isolato:106; accesso: accesso esterno; (z.d. 3)";VIA;SPALLANZANI LAZZARO;5;2153;3;610;;652
non alimentare;;"VIA CASORETTO N. 33 ; isolato:006; accesso: accesso esterno; (z.d. 3)";VIA;CASORETTO;33;2420;3;290;;290
non alimentare;;"VIA CASSINIS GIOVANNI BATTISTA N. 23 ; isolato:071; accesso: accesso esterno; (z.d. 4)";VIA;CASSINIS GIOVANNI BATTISTA;23;4309;4;3163;;3163
non alimentare;;VIA CASSINIS GIOVANNI BATTISTA N. 7 (z.d. 4);VIA;CASSINIS GIOVANNI BATTISTA;7;4309;4;305;;305
non alimentare;;"VIA CATULLO N. 8 loc. interno; (z.d. 8)";VIA;CATULLO;8;7428;8;286;;286
non alimentare;;VIA CHIESE N. 60 (z.d. 9);VIA;CHIESE;60;1627;9;1299;;2095
non alimentare;;VIA COLONNA MARCO ANTONIO N. 35 (z.d. 8);VIA;COLONNA MARCO ANTONIO;35;7158;8;350;;350
non alimentare;;"VIA CONFALONIERI FEDERICO N. 34 ; isolato:283; accesso: accesso esterno; (z.d. 9)";VIA;CONFALONIERI FEDERICO;34;1125;9;485;82;567
non alimentare;;VIA CUSANI N. 10 (z.d. 1);VIA;CUSANI;10;719;1;261;;261
non alimentare;;"VIA DE AMICIS EDMONDO N. 29 1152+1242 al 31;via de amicis edmondo 023; isolato:128; accesso: accesso interno; (z.d. 1)";VIA;DE AMICIS EDMONDO;29;574;1;2394;;2394
non alimentare;;"VIA DEGLI OMENONI N. 2 ;via degli omenoni 002; isolato:383; accesso: accesso esterno; (z.d. 1)";VIA;DEGLI OMENONI;2;233;1;563;117;680
non alimentare;;"VIA DEGLI ZUCCARO N. 9 ; isolato:142; accesso: accesso esterno; (z.d. 6)";VIA;DEGLI ZUCCARO;9;5390;6;800;;800
non alimentare;;"VIA DEI CROLLALANZA N. 4 ; isolato:067; accesso: accesso esterno; (z.d. 6)";VIA;DEI CROLLALANZA;4;5311;6;800;1490;2290
non alimentare;;"VIA DEI MISSAGLIA N. 34 ; isolato:071; (z.d. 5)";VIA;DEI MISSAGLIA;34;5340;5;990;;990
non alimentare;;"VIA DEL DUCA CINO N. 12 ;via del duca cino 012; isolato:191; accesso: accesso esterno; (z.d. 1)";VIA;DEL DUCA CINO;12;362;1;300;110;410
non alimentare;;"VIA DELL' ANNUNCIATA N. 2 angolo via manzoni;via dell' annunciata 002; isolato:182; accesso: accesso esterno; (z.d. 1)";VIA;DELL' ANNUNCIATA;2;140;1;913;;1110
non alimentare;;"VIA DELL' ORSO num.007/a; isolato:311; accesso: accesso esterno; (z.d. 1)";VIA;DELL' ORSO;;123;1;269;172;441
non alimentare;;"VIA DOGANA N. 2 angolo via marconi; (z.d. 1)";VIA;DOGANA;2;341;1;2092;;3664
non alimentare;;"VIA DUPRE' GIOVANNI N. 14 ; isolato:292; accesso: accesso esterno; (z.d. 8)";VIA;DUPRE' GIOVANNI;14;7252;8;800;;800
non alimentare;;"VIA DURINI N. 16 ;via durini 018; isolato:318; accesso: accesso esterno; (z.d. 1)";VIA;DURINI;16;313;1;600;150;750
non alimentare;;VIA DURINI N. 1 (z.d. 1);VIA;DURINI;1;313;1;329;;422
non alimentare;;"VIA DURINI N. 25 ;via durini 025; isolato:317; accesso: accesso esterno; (z.d. 1)";VIA;DURINI;25;313;1;330;;450
non alimentare;;"VIA DURINI N. 28 ;via durini 028; isolato:318; accesso: accesso interno; (z.d. 1)";VIA;DURINI;28;313;1;872;2;874
non alimentare;;"VIA FALLOPPIO GABRIELE N. 11 ; isolato:009; accesso: accesso esterno; (z.d. 3)";VIA;FALLOPPIO GABRIELE;11;2424;3;292;;292
non alimentare;;"VIA FARA GUSTAVO N. 39 ; isolato:289; accesso: accesso esterno; (z.d. 9)";VIA;FARA GUSTAVO;39;1183;9;800;;800
non alimentare;;"VIA FARINI CARLO N. 47 ; isolato:251; accesso: accesso esterno; (z.d. 9)";VIA;FARINI CARLO;47;1114;9;660;;660
non alimentare;;"VIA FELTRE N. 17 ; isolato:059; (z.d. 3)";VIA;FELTRE;17;2652;3;314;;314
non alimentare;;"VIA FELTRE N. 30 ; isolato:067; accesso: accesso esterno; (z.d. 3)";VIA;FELTRE;30;2652;3;1100;;1100
non alimentare;;"VIA FELTRE num.034/5; isolato:067; accesso: accesso interno; (z.d. 3)";CSO;BUENOS AIRES;47;2129;3;500;;500
non alimentare;;"VIA FERRUCCI FRANCESCO N. 2 ; isolato:085; accesso: accesso esterno; (z.d. 8)";VIA;FERRUCCI FRANCESCO;2;7150;8;310;20;330
non alimentare;;"VIA FILZI FABIO N. 8 ; isolato:310; accesso: accesso esterno; (z.d. 2)";VIA;FILZI FABIO;8;1190;2;800;150;950
non alimentare;;"VIA F.LLI BRONZETTI N. 16 ; isolato:020; accesso: accesso interno; (z.d. 4)";VIA;F.LLI BRONZETTI;16;3089;4;428;;428
non alimentare;;"VIA F.LLI GABBA N. 1 ;via f.lli gabba 001; isolato:304; accesso: accesso esterno; (z.d. 1)";VIA;F.LLI GABBA;1;146;1;564;;590
non alimentare;;"VIA F.LLI ZOIA N. 71 ; isolato:042; accesso: area ap.rec.; (z.d. 7)";VIA;F.LLI ZOIA;71;6306;7;600;10;610
non alimentare;;"VIA FOLLI EGIDIO num.096; accesso: accesso esterno; (z.d. 3)";VIA;FOLLI EGIDIO;;2676;3;600;;600
non alimentare;;"VIA FRIULI N. 16 ; isolato:177; accesso: accesso esterno; (z.d. 4)";VIA;FRIULI;16;3199;4;794;406;1200
non alimentare;;"VIA GADAMES num.057; isolato:203; accesso: accesso esterno; (z.d. 8)";VIA;GADAMES;;7423;8;450;;450
non alimentare;;"VIA GAGGIA PIETRO N. 1 ; isolato:070; accesso: accesso esterno; (z.d. 4)";VIA;GAGGIA PIETRO;1;4187;4;280;20;300
non alimentare;;"VIA GALLARATE N. 219 ; isolato:179; accesso: accesso interno; (z.d. 8)";VIA;GALLARATE;219;7420;8;253;;253
non alimentare;;"VIA GALLI MARIO N. 19 ; isolato:013; accesso: accesso interno; (z.d. 9)";VIA;GALLI MARIO;19;1304;9;287;71;358
non alimentare;;"VIA GATTAMELATA N. 41 ; isolato:328; accesso: accesso esterno; (z.d. 8)";VIA;GATTAMELATA;41;7156;8;1330;;1330
non alimentare;;"VIA GIAMBELLINO num.069/5; isolato:160; accesso: accesso esterno; (z.d. 6)";CSO;SEMPIONE;51;7137;8;848;;848
non alimentare;;"VIA GIOIA MELCHIORRE N. 62 ; isolato:240; accesso: accesso esterno; (z.d. 2)";VIA;GIOIA MELCHIORRE;62;1108;2;320;50;370
non alimentare;;"VIA GIOVANNI DA UDINE N. 3 ; isolato:220; accesso: accesso esterno; (z.d. 8)";VIA;GIOVANNI DA UDINE;3;7408;8;530;337;867
non alimentare;;"VIA GIULINI GIORGIO N. 2 ;via giulini giorgio 002; isolato:371; accesso: accesso esterno; (z.d. 1)";VIA;GIULINI GIORGIO;2;613;1;390;81;471
non alimentare;;"VIA GONIN FRANCESCO N. 11 ; isolato:156; accesso: accesso esterno; (z.d. 6)";VIA;GONIN FRANCESCO;11;5376;6;775;1;776
non alimentare;;"VIA GROSOTTO N. 7 pii portello comp u2 lotto 2a; isolato:249; (z.d. 8)";VIA;GROSOTTO;7;7328;8;723;;780
non alimentare;;"VIA HOEPLI ULRICO N. 3 ;via hoepli ulrico 003; isolato:384; accesso: accesso esterno; (z.d. 1)";VIA;HOEPLI ULRICO;3;190;1;778;;778
non alimentare;;"VIA HOEPLI ULRICO N. 5 ;via hoepli ulrico 005; isolato:384; accesso: accesso esterno; (z.d. 1)";VIA;HOEPLI ULRICO;5;190;1;1390;500;1890
non alimentare;;"VIA IMPERIA N. 15 ; isolato:051; accesso: accesso esterno; (z.d. 5)";VIA;IMPERIA;15;5266;5;315;550;865
non alimentare;;"VIA LARIO num.011/a; isolato:212; accesso: accesso esterno; (z.d. 9)";VIA;LARIO;;1171;9;350;15;365
non alimentare;;"VIA LAZZARETTO N. 17 ; isolato:098; accesso: accesso esterno; (z.d. 2)";VIA;LAZZARETTO;17;2112;2;405;15;420
non alimentare;;"VIA LENTASIO N. 1 ;via lentasio 001; isolato:270; accesso: accesso esterno; (z.d. 1)";VIA;LENTASIO;1;410;1;355;250;605
non alimentare;;"VIA LEOPARDI GIACOMO N. 7 ; isolato:289; accesso: accesso esterno; (z.d. 1)";VIA;LEOPARDI GIACOMO;7;6156;1;370;50;420
non alimentare;;"VIA LEPONTINA N. 12 ; isolato:206; accesso: accesso interno; (z.d. 9)";VIA;LEPONTINA;12;1147;9;380;10;390
non alimentare;;"VIA LESMI N. 7 ; isolato:458; accesso: accesso interno; (z.d. 1)";VIA;LESMI;7;5095;1;320;;320
non alimentare;;"VIA LORENTEGGIO N. 27 ; isolato:152; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;27;5132;6;350;;350
non alimentare;;"VIA MADERNA BRUNO N. 2 ; isolato:072; accesso: accesso esterno; (z.d. 4)";VIA;MADERNA BRUNO;2;3382;4;500;;500
non alimentare;;"VIA MANZONI ALESSANDRO N. 30 ;via manzoni alessandro 030; isolato:255; accesso: accesso esterno; (z.d. 1)";VIA;MANZONI ALESSANDRO;30;230;1;361;;423
non alimentare;;VIA MANZONI ALESSANDRO N. 31 (z.d. 1);VIA;MANZONI ALESSANDRO;31;230;1;905;;905
non alimentare;;"VIA MARCO D'AGRATE N. 8 ; isolato:115; accesso: accesso esterno; (z.d. 5)";VIA;MARCO D'AGRATE;8;4276;5;730;390;1120
non alimentare;;"VIA MARIANI POMPEO N. 2 ; isolato:120; accesso: accesso esterno; (z.d. 2)";VIA;MARIANI POMPEO;2;2490;2;1350;;1350
non alimentare;;"VIA MARTINI SIMONE N. 3 ; isolato:046; accesso: accesso esterno; (z.d. 6)";VIA;MARTINI SIMONE;3;5307;6;750;;750
non alimentare;;"VIA MAZZINI GIUSEPPE N. 2 ;via mazzini giuseppe 002; isolato:447; accesso: accesso esterno; (z.d. 1)";VIA;MAZZINI GIUSEPPE;2;516;1;648;;648
non alimentare;;"VIA MEDA GIUSEPPE N. 11 ; isolato:130; accesso: accesso interno; (z.d. 5)";VIA;MEDA GIUSEPPE;11;5242;5;350;1260;1610
non alimentare;;"VIA MEDEGHINO N. 9 ; isolato:047; accesso: accesso esterno; (z.d. 5)";VIA;MEDEGHINO;9;5335;5;319;;359
non alimentare;;"VIA MERULA GIORGIO num.009/3; isolato:035; accesso: accesso interno; (z.d. 6)";VLE;PAPINIANO;12;5097;1;523;;523
non alimentare;;"VIA MONTE NAPOLEONE N. 11 ;via monte napoleone 011; isolato:314; accesso: accesso esterno; (z.d. 1)";VIA;MONTE NAPOLEONE;11;219;1;800;;800
non alimentare;;"VIA MONTE NAPOLEONE num.004; (z.d. 1)";VIA;MONTE NAPOLEONE;;219;1;891;;1451
non alimentare;;"VIA MONTE NAPOLEONE num.027/c;via formentini marco 009; isolato:302; accesso: accesso esterno; (z.d. 1)";VIA;MONTE NAPOLEONE;;219;1;500;;500
non alimentare;;"VIA MONTE NAPOLEONE num.027/e; isolato:314; (z.d. 1)";VIA;MONTE NAPOLEONE;;219;1;597;;657
non alimentare;;"VIA MONTE SAN GABRIELE N. 8 ; isolato:180; accesso: accesso esterno; (z.d. 2)";VIA;MONTE SAN GABRIELE;8;2481;2;420;;420
non alimentare;;"VIA MOROSINI EMILIO N. 7 ; isolato:046; accesso: accesso esterno; (z.d. 4)";VIA;MOROSINI EMILIO;7;3073;4;371;;371
non alimentare;;"VIA MURATORI LODOVICO N. 13 ; isolato:165; accesso: accesso esterno; (z.d. 4)";VIA;MURATORI LODOVICO;13;4076;4;772;2052;2824
non alimentare;;VIA MURATORI LODOVICO N. 27 (z.d. 4);VIA;MURATORI LODOVICO;27;4076;4;724;;1000
non alimentare;;"VIA NEGROTTO MICHELE PERICLE num.049/6; isolato:161; accesso: accesso esterno; (z.d. 8)";VIA;AOSTA;6;7227;8;450;;450
non alimentare;;"VIA NERINO N. 12 ;via nerino 012; isolato:349; accesso: accesso esterno; (z.d. 1)";VIA;NERINO;12;564;1;362;225;587
non alimentare;;VIA NERVESA N. 30 (z.d. 4);VIA;NERVESA;30;4167;4;800;;800
non alimentare;;"VIA NIEVO IPPOLITO N. 41 ; isolato:087; accesso: accesso esterno; (z.d. 8)";VIA;NIEVO IPPOLITO;41;6354;8;470;;470
non alimentare;;"VIA NOVARA N. 127 ; isolato:038; accesso: accesso esterno; (z.d. 7)";VIA;NOVARA;127;6624;7;286;;286
non alimentare;;"VIA OLONA N. 25 ; isolato:224; accesso: accesso interno; (z.d. 1)";VIA;OLONA;25;5090;1;261;;261
non alimentare;;"VIA PACINI GIOVANNI N. 64 ; isolato:083; accesso: accesso esterno; (z.d. 3)";VIA;PACINI GIOVANNI;64;2571;3;406;10;416
non alimentare;;VIA PADOVA N. 237 (z.d. 2);VIA;PADOVA;237;2275;2;600;;600
non alimentare;;"VIA PAISIELLO GIOVANNI N. 1 ; isolato:063; accesso: accesso esterno; (z.d. 3)";VIA;PAISIELLO GIOVANNI;1;2245;3;280;270;550
non alimentare;;"VIA PALAZZI LAZZARO N. 2 angolo c.so b. aires; (z.d. 3)";VIA;PALAZZI LAZZARO;2;2171;3;563;;1005
non alimentare;;VIA PALIZZI FILIPPO N. 69 (z.d. 8);VIA;PALIZZI FILIPPO;69;7451;8;760;;811
non alimentare;;"VIA PANZERI PIETRO N. 10 ; isolato:053; accesso: accesso esterno; (z.d. 1)";VIA;PANZERI PIETRO;10;5183;1;384;;384
non alimentare;;"VIA PASSO BUOLE N. 4 ; isolato:198; accesso: accesso interno; (z.d. 5)";VIA;PASSO BUOLE;4;4218;5;400;;400
non alimentare;;"VIA PAULLO N. 11 ; isolato:058; accesso: accesso interno; (z.d. 4)";VIA;PAULLO;11;3177;4;428;330;758
non alimentare;;"VIA PECCHIO GIUSEPPE N. 10 ; isolato:040; (z.d. 3)";VIA;PECCHIO GIUSEPPE;10;2240;3;800;;800
non alimentare;;"VIA PEDRONI LISIADE num.001/6; isolato:173; accesso: accesso esterno; (z.d. 9)";VIA;TOCE;11;1325;9;900;;900
non alimentare;;"VIA PELLINI EUGENIO N. 3 ; isolato:123; accesso: accesso esterno; (z.d. 2)";VIA;PELLINI EUGENIO;3;1482;2;396;;396
non alimentare;;"VIA PETITTI CARLO ILARIONE N. 5 ; isolato:330; accesso: accesso esterno; (z.d. 8)";VIA;PETITTI CARLO ILARIONE;5;7161;8;270;100;370
